HAUL_ID,EST_NUM_PERM3,log10_EST_NUM_PERM3,BOTTOM_DEPTH,CRUISE,DAY,GEAR_NAME,GMT_DATE_TIME_TXT,HAUL_PERFORMANCE,LAT,LON,MAX_GEAR_DEPTH,MESH,MONTH,STATION_NAME,VOLUME_FILTERED,YEAR,TAXA
1AK10 12 2 20BON 1,378.5348,2.579251603,67,1AK10,19,20BON,6/19/2010 2:10,GOOD,57.33233,-166.51883,57,153,6,12,6.50931,2010,Pseudocalanus spp.
1AK10 17 2 20BON 2,421.9228,2.626261099,66,1AK10,24,20BON,6/24/2010 2:46,GOOD,58.314,-169.06567,56,153,6,17,9.36664,2010,Pseudocalanus spp.
1AK10 18 2 20BON 2,444.2991,2.648651817,71,1AK10,25,20BON,6/25/2010 3:03,GOOD,57.30933,-167.71651,61,153,6,18,12.56811,2010,Pseudocalanus spp.
1AK10 3 2 20BON 1,494.8731,2.695370549,62,1AK10,9,20BON,6/9/2010 3:24,GOOD,56.97033,-160.3365,52,153,6,3,9.95811,2010,Pseudocalanus spp.
1AK10 4 2 20BON 1,472.0817,2.674936149,66,1AK10,10,20BON,6/10/2010 1:56,GOOD,57.0005,-161.55949,56,153,6,4,11.58153,2010,Pseudocalanus spp.
1AK10 8 2 20BON 1,847.1417,2.928468416,72,1AK10,14,20BON,6/14/2010 2:45,GOOD,56.68167,-163.996,63,153,6,8,14.80744,2010,Pseudocalanus spp.
1AR07 12 2 20BON 1,447.5784,2.651838358,71,1AR07,21,20BON,6/21/2007 2:56,GOOD,56.68267,-164.5795,66,153,6,12,9.65194,2007,Pseudocalanus spp.
1AR07 5 2 20BON 1,557.7309,2.74720269,58,1AR07,14,20BON,6/14/2007 3:58,GOOD,57.37,-160.91533,52,153,6,5,11.30294,2007,Pseudocalanus spp.
1AR07 7 2 20BON 1,483.1617,2.684990431,68,1AR07,16,20BON,6/16/2007 2:34,GOOD,56.69733,-162.20717,60,153,6,7,9.40472,2007,Pseudocalanus spp.
1AR07 9 2 20BON 1,1484.8952,3.17198818,62,1AR07,18,20BON,6/18/2007 4:19,GOOD,57.022,-163.49583,51,153,6,9,9.48215,2007,Pseudocalanus spp.
1AR08 13 1 20BON 1,1820.4512,3.26041754,88,1AR08,16,20BON,6/16/2008 1:14,GOOD,56.23333,-165.13333,81,153,6,13,13.55458,2008,Pseudocalanus spp.
1AR08 3 1 20BON 1,488.701,2.689930991,54,1AR08,6,20BON,6/6/2008 2:46,GOOD,57.3,-160.43333,43,153,6,3,8.7088,2008,Pseudocalanus spp.
1AR08 6 1 20BON 1,540.6181,2.733693169,60,1AR08,9,20BON,6/9/2008 3:03,GOOD,56.9,-163.03334,54,153,6,6,5.09047,2008,Pseudocalanus spp.
1AR08 8 1 20BON 1,2936.5456,3.467984617,82,1AR08,11,20BON,6/11/2008 2:26,GOOD,56.345,-164,71,153,6,8,11.76893,2008,Pseudocalanus spp.
1AR09 1 2 20BON 1,273.14,2.437972408,58,1AR09,5,20BON,6/5/2009 3:40,GOOD,57.33633,-160.92867,55,153,6,1,17.10479,2009,Pseudocalanus spp.
