"","GIS_STATION","LATITUDE","LONGITUDE","AVG_CPUE"
"1","L-18",58.65212,-168.49452,65143.1401434843
"2","K-24",58.36181,-172.3055,5268.16363378443
"3","T-30",61.31605,-176.97018,37596.5508703603
"4","K-20",58.35132,-169.73129,32381.815662259
"5","Q-28",60.35098,-175.38496,17779.5091759327
"6","H-19",57.34728,-168.97741,2348.89370081631
"7","I-24",57.68323,-172.17982,1727.61347075108
"8","J-01",57.97731,-167.797,83387.1682432147
"9","U-26",61.66818,-174.50598,171741.58002028
"10","N-24",59.34436,-172.53118,14852.3340112463
"11","Q-19",60.33367,-169.2765,42446.9278631416
"12","P-31",60.00034,-177.23564,3541.60428265103
"13","L-24",58.68972,-172.3724,3363.91099840167
"14","O-22",59.64869,-171.24742,58443.2890497797
"15","P-32",60.00555,-177.91649,1880.96676582163
"16","K-05",58.31802,-165.28929,5638.81334676943
"17","M-24",59.02333,-172.44581,3905.04068487199
"18","J-02",57.97537,-167.16836,59820.4248284607
"19","K-01",58.31946,-167.82176,30898.7114719034
"20","J-20",58.01521,-169.71634,77390.9437608562
"21","J-03",58.02069,-166.53482,34095.6723575923
"22","M-01",58.97753,-167.88273,11744.359892542
"23","S-22",60.9629,-171.49421,196254.664923417
"24","U-29",61.64726,-176.45493,45960.4820252097
"25","L-19",58.68444,-169.16121,51686.1961708227
"26","O-21",59.64789,-170.57606,58723.0963584855
"27","I-19",57.68445,-169.03645,51595.7270023898
"28","P-18",60.00184,-168.65472,29293.5949692499
"29","R-32",60.67043,-178.0946,1657.80751307965
"30","P-27",59.9701,-174.57522,9373.95832987835
"31","O-29",59.63903,-175.84694,2912.64009248774
"32","R-22",60.64257,-171.41286,155040.878239977
"33","K-21",58.31489,-170.37946,85449.1024183295
"34","J-18",57.9978,-168.43709,68529.1851476308
"35","N-23",59.36984,-171.82025,28592.0858779753
"36","I-03",57.66072,-166.48364,20188.746922476
"37","O-26",59.68236,-173.84341,6999.37927793317
"38","F-02",56.69139,-167.07716,1517.89486406964
"39","J-22",57.98968,-170.96212,9475.96967224506
"40","Q-18",60.3354,-168.59445,11750.8537505011
"41","K-23",58.35867,-171.66093,3488.74411774725
"42","T-26",61.33421,-174.29617,152070.085910766
"43","L-01",58.6548,-167.89785,9202.90169237748
"44","R-25",60.64583,-173.46889,53174.8309321372
"45","F-19",56.67826,-168.91257,4408.40253426492
"46","E-18",56.32526,-168.25663,1808.46317309923
"47","G-02",57.00212,-167.04825,3182.52075245739
"48","I-21",57.64441,-170.28211,14997.8508150829
"49","I-20",57.67356,-169.67251,50211.0295292227
"50","H-02",57.32951,-167.13548,13681.2870945274
"51","T-25",61.30959,-173.57693,137306.139636041
"52","K-06",58.29758,-164.63049,3457.77618652822
"53","K-25",58.30773,-172.93426,2552.91929614101
"54","Q-27",60.30591,-174.69375,14593.0095490959
"55","R-23",60.69308,-172.11238,145863.486309243
"56","P-23",59.98513,-171.9437,31451.2566464307
"57","J-04",58.00637,-165.90858,20295.4547371144
"58","L-21",58.65614,-170.41127,61649.7287162124
"59","J-25",58.00612,-172.82052,2271.34463633261
"60","R-26",60.68245,-174.12747,97866.2017787056
"61","N-01",59.3004,-167.94232,5434.09033649313
"62","T-27",61.30722,-175.02071,86223.8335353816
"63","I-02",57.66047,-167.09467,34560.0926455426
"64","J-06",57.97226,-164.61412,2938.07810227608
"65","I-23",57.68816,-171.51553,1348.7443937085
"66","P-20",60.02068,-169.9721,56059.9521416882
"67","V-28",61.98552,-175.83644,133415.745965944
"68","Q-31",60.31173,-177.37122,2861.38996608017
"69","K-19",58.34852,-169.12617,74152.9953542784
"70","I-04",57.69132,-165.89603,24895.0587790244
"71","G-19",57.00297,-168.94852,3313.27700914595
"72","G-01",56.9715,-167.70558,2144.78938541367
"73","N-19",59.35133,-169.23705,32599.786360139
"74","P-21",59.97874,-170.62746,74544.5615799682
"75","P-30",59.97384,-176.70327,3741.39574826164
"76","K-03",58.35787,-166.55479,5020.56580822174
"77","K-04",58.34977,-165.91967,6494.17636676423
"78","S-25",60.99605,-173.4858,145753.229719187
"79","Q-25",60.30442,-173.37309,25098.7273768617
"80","N-22",59.32023,-171.1868,63592.4772301975
"81","Q-29",60.31361,-176.01383,19949.0780390072
"82","M-25",58.97738,-173.08979,2383.34497579138
"83","L-27",58.65757,-174.26722,5868.17333464739
"84","M-18",58.97706,-168.53159,21854.6387336934
"85","J-23",58.01783,-171.60112,2785.7450883039
"86","H-04",57.35931,-165.86777,8217.14082750456
"87","S-27",60.96936,-174.87605,75793.7865452067
"88","L-03",58.68973,-166.56097,3546.38003642451
"89","S-23",61.01419,-172.13649,160454.282687836
"90","S-24",60.99848,-172.75286,194822.875209603
"91","N-21",59.30746,-170.52361,113686.72639343
"92","U-27",61.64331,-175.08282,122086.998085174
"93","O-23",59.68853,-171.90492,50333.4510205375
"94","J-05",58.00056,-165.25132,1706.62614534849
"95","H-03",57.33959,-166.50618,8164.83269941644
"96","M-23",59.01448,-171.78045,14684.2287283156
"97","V-26",62.02863,-174.50045,296006.94725627
"98","M-19",59.02391,-169.18559,49011.9447969863
"99","P-28",60.02245,-175.2744,4575.88788534195
"100","U-28",61.66501,-175.8452,167325.423606339
"101","M-20",59.00916,-169.83605,76863.9075506577
"102","S-28",61.0209,-175.53737,39952.1150597082
"103","O-20",59.68665,-169.92705,95559.3232915065
"104","M-30",59.00077,-176.33392,1499.26030997713
"105","K-22",58.31831,-171.01813,21729.787657453
"106","G-05",56.98178,-165.2255,1628.12198085334
"107","M-22",58.97291,-171.13063,52164.2370136851
"108","L-22",58.65537,-171.08429,44019.0896779949
"109","L-29",58.67295,-175.50886,1370.47919649573
"110","O-30",59.66808,-176.56299,3413.80145099976
"111","R-28",60.69381,-175.46187,18644.590838286
"112","H-05",57.30736,-165.23705,4449.03313517959
"113","T-28",61.34065,-175.74807,81674.0592757366
"114","O-28",59.69123,-175.12804,2810.34202974475
"115","N-28",59.34938,-175.09002,2879.60081944202
"116","T-29",61.32219,-176.31273,40890.0011929996
"117","R-27",60.64384,-174.81954,49818.7090603132
"118","R-30",60.64364,-176.79332,18762.7264575434
"119","G-04",57.02425,-165.85254,1683.34936124298
"120","O-18",59.63102,-168.62151,19811.7156821653
"121","P-29",59.9745,-175.91489,5143.42993450233
"122","U-25",61.68338,-173.66521,216530.155303947
"123","H-06",57.29902,-164.62833,2465.58154614837
"124","H-22",57.31782,-170.85066,4795.93489015093
"125","G-20",57.00174,-169.57331,3088.00726394034
"126","I-18",57.64779,-168.39432,43138.906096245
"127","P-24",59.98494,-172.5652,76344.2355467702
"128","O-24",59.67831,-172.57544,73350.7909778216
"129","N-26",59.31565,-173.79053,3074.58709993711
"130","Q-23",60.35843,-172.07036,54788.7395074735
"131","P-25",60.02033,-173.3103,60305.1913393505
"132","P-26",60.01312,-173.97255,30788.6321426685
"133","V-25",61.97328,-173.76475,230000.573841267
"134","I-05",57.66598,-165.24744,16141.275290048
"135","Q-20",60.33427,-169.98872,115373.95713643
"136","G-18",56.98462,-168.33503,6992.14147512096
"137","O-25",59.67517,-173.19177,10831.0656826761
"138","S-31",60.99712,-177.66384,10083.8832057746
"139","M-27",58.99922,-174.35763,2417.76429524707
"140","S-30",60.9998,-177.00159,29347.4600695917
"141","O-19",59.67904,-169.27061,39788.1187269557
"142","N-20",59.33889,-169.88546,71902.3721847752
"143","Q-26",60.35313,-174.07549,100042.612172181
"144","H-18",57.31069,-168.35725,17134.6793141199
"145","K-18",58.29667,-168.45723,66021.4212771134
"146","L-25",58.64277,-172.96579,2116.87756583174
"147","N-27",59.30985,-174.42467,2961.33373700486
"148","J-21",57.97884,-170.31595,74906.4151295431
"149","I-06",57.64288,-164.60149,1499.5756741121
"150","I-01",57.64447,-167.74331,26100.7445482401
"151","L-28",58.75863,-174.92846,1393.62773135674
"152","K-02",58.30365,-167.19013,8609.34321907017
"153","L-20",58.68054,-169.79212,61601.2522738471
"154","S-29",60.96495,-176.26335,36681.4291044101
"155","I-22",57.65144,-170.8866,5376.45068623656
"156","S-26",61.0243,-174.19834,142967.827162914
"157","J-19",58.01753,-169.08331,44644.4420391004
"158","H-20",57.33561,-169.6503,38098.9959090318
"159","N-25",59.31328,-173.14943,4570.19101681915
"160","O-27",59.65001,-174.45629,3002.59145063887
"161","R-29",60.65295,-176.20329,15530.0263011059
"162","L-23",58.68111,-171.72144,5777.29744306194
"163","Q-21",60.30757,-170.64188,137309.177402149
"164","M-21",58.97978,-170.46222,98202.8878391426
"165","N-18",59.30949,-168.57758,18014.1633230069
"166","R-31",60.65396,-177.49531,6468.19746641722
"167","P-22",59.97323,-171.29416,80734.6989869298
"168","Q-22",60.33021,-171.30708,129909.330380098
"169","P-19",60.00822,-169.29663,33752.4421840933
"170","Q-30",60.32524,-176.71091,2618.87293655377
"171","R-24",60.68195,-172.81389,134169.934552217
"172","V-27",61.9935,-175.25366,156103.431325289
"173","H-01",57.31344,-167.74046,12372.5323036594
"174","J-24",57.99762,-172.28184,2767.62633260631
